manufacturer;model
American LaFrance;American Lafrance Condor
Agrale;Agrale 6500
Agrale;Agrale 8700
Agrale;Agrale 10000
Agrale;Agrale 14000
AMW;AMW TP Series
Ashok Leyland;Ashok Layland Avia
Ashok Leyland;Ashok Leyland U-Truck
Askam;Askam AS 950
Askam;Askam 8 Litre
Askam;Askam Hi-Ex
Astra;Astra HD9
AMW;AMW TR Series
AMW;AMW HL Series
AMW;AMW TM Series
AMW;AMW CP Series
Autocar;Autocar Xspotter
Autocar;Autocar Expert
Autocar;Autocar Refuse
Avia Trucks;Avia D-Line
AzUniversal Motors;Isuzu
BeiBen;BeiBen V3 Series
BeiBen;BeiBen NG80 Series
BeiBen;BeiBen Eurysome
BeiBen;BeiBen Tiema Series
Beijing Automobile Works;BAW Dragon Flag
Beijing Automobile Works;BAW Bell
BharatBenz;BharatBenz 914
BharatBenz;BharatBenz 1214
BharatBenz;BharatBenz 2523
BharatBenz;BharatBenz 3128
BharatBenz;BharatBenz 3143
BharatBenz;BharatBenz 3723
Bryansk Automobile Plant;BAZ-69096
Bryansk Automobile Plant;BAZ-69096 (civilian version)
Bryansk Automobile Plant;BAZ-64022
BMC (Turkey);BMC Fatih
BMC;BMC Profesyonel
Caterpillar;CAT CT660
CEV;Might-E Truck
Chevrolet;Chevrolet NHR
Chevrolet;Chevrolet NKR
Chevrolet;Chevrolet N-Series
Chevrolet;Chevrolet Express Cutaway
Chevrolet;Chevrolet FTR
Chevrolet;Chevrolet FVR
Chevrolet;Chevrolet FVZ
Chevrolet;Chevrolet CYZ
Citroën;Citroën Jumper
CCC;CCC LET2
CCC;CCC COE2
CCC;CCC LOT2
CNJ;CNJ Fortune
CNJ;CNJ Ruichi
DAF Trucks;DAF LF
DAF Trucks;DAF CF
DAF Trucks;DAF XF
Dayun;Dayun CGC1047PB33E3
Dayun;Dayun CGC1141
Dayun;Dayun DYX1250
Dayun;Dayun CGC1311
Dayun;Dayun DYX5310
Dina;Dina Hustler
Dongfeng;Dongfeng Palawan
Dongfeng;Dongfeng Gold Fighter
Dongfeng;Dongfeng Chenglong
Dongfeng;Dongfeng Kang PA
Dongfeng;Dongfeng Star
Dongfeng;Dongfeng Badly
Dongfeng;Dongfeng Days Kam
Dongfeng;Dongfeng Likas
Dongfeng;Dongfeng King Kong
Dongfeng;Dongfeng Tianlong
Dongfeng;Dongfeng Titan
Dongfeng;Dongfeng Balong Heavy Truck
Dongfeng;Dongfeng Dragon Card
FAP;FAP 1318
FAP;FAP 1824
FAP;FAP 1828
FAP;FAP 1830
FAP;FAP 2235
FAP;FAP 2640
FAW;FAW CA1051K26L3
FAW;FAW CA1051K26L3R5
FAW;FAW CA1037K2L
FAW;FAW CA1031K2LR5
FAW;FAW CA1031K2L
FAW;FAW CA5313CLXYP7K2L11T4
FAW;FAW CA3075K2
FAW;FAW CA4322P21K15T1YA82
FAW;FAW CA3313P7K2T4A
FAW;FAW CA4252P21K2T1A
FAW;FAW J6
FAW-GM;Jie Fang 1-Ton Truck
FAW-GM;Jie Fang 2-Ton Truck
FAW-GM;Jie Fang 3-Ton Truck
Fiat;Fiat Ducato
Ford;Ford F-650/750
Ford;Ford Econoline Cataway
Ford;Ford Cargo
Ford Otosan;Ford F-MAX
Foton;Foton Aumark Series
Foton;Foton Ollin Series
Foton;Foton Auman Series
Freightliner;Freigtliner M2 106
Freightliner;Freightliner M2 112
Freightliner;Freightliner Coronado Series
Freightliner;Freightliner Cascadia
Freightliner;Freightliner 108SD
Freightliner;Freightliner 114SD
Freightliner;Freightliner Century Class
Freightliner;Freightliner Argosy
GA;MAZ
GAZ;GAZ 3307 /3309
GAZ;GAZ 3308 Sadko
GAZ;GAZ Gazelle
GAZ;GAZelle NEXT
GAZ;GAZon NEXT
GAZ;GAZ Sadko NEXT
GAZ;GAZ Valdai
GINAF;GINAF C-Series
GINAF;GINAF X-Series
Hino;Hino 300 Series
Hino;Hino 238
Hino;Hino 500 Series
Hino;Hino 700 Series
Hyundai;Hyundai HD45
Hyundai;Hyundai HD65/72/78
Hyundai;Hyundai H350
Hyundai;Hyundai Mighty
Hyundai;Hyundai HD120/210
Hyundai;Hyundai Cargo Truck
Hyundai;Hyundai Xcient
Iran Khodro Diesel;Khawar 1934
Isuzu;Isuzu N-Series
Isuzu;Mazda Titan
Isuzu;Isuzu Elf
